,playerid,name
0,aardsda01,David Allan
1,abadfe01,Fernando Antonio
2,abreujo02,Jose Dariel
3,achteaj01,Adam Joseph
4,ackledu01,Dustin Michael
5,acunaro01,Ronald Jose
6,adamecr01,Cristhian Pascual
7,adamewi01,Willy Rafael
8,adamja01,Jason Kendall
9,adamsau01,Austin David
10,adamsau02,Austin Lance
11,adamsch01,Chance
12,adamsla01,Lane Weston
13,adamsma01,Matthew James
14,adcocna01,Nathan Masler
15,adducji02,Jim Charles
16,adlemti01,Timothy Max
17,adriaeh01,Ehire Enrique
18,affelje01,Jeremy David
19,aguilje01,Jesus Alexander
20,ahmedni01,Nicholas Mark
21,alberan01,Andrew William
22,alberha01,Hanser Joel
23,alberma01,Matthew James
24,albieoz01,Ozhaino Jurdy Jiandro
25,albural01,Alberto Jose
26,alcanar01,Arismendy
27,alcanra01,Raul
28,alcansa01,Sandy
29,alcanvi01,Victor Alfonso
30,alexasc01,Scott Alain
31,alfarjo01,Jorge Mario
32,alforan01,Anthony Joseph
33,allarko01,Kolby Kenneth
34,allenco01,Cody Edward
35,allengr01,Gregory Lomack
36,almonab01,Abraham
37,almonmi01,Miguel Emilio
38,almonye01,Yency
39,almoral01,Reinaldo Albert
40,alonsyo01,Yonder
41,altavda01,Daniel
42,altheaa01,Aaron Samuel
43,altuvjo01,Jose Carlos
44,alvarda01,Dario Rafael
45,alvarda02,Dariel
46,alvarhe01,Henderson Javier
47,alvarjo02,Jose Ricardo
48,alvarjo03,Jose Antonio
49,alvarpe01,Pedro Manuel
50,alvarrj01,Roy Emilio
51,amarial01,Alexi Jose
52,anderbr04,Brett Franklin
53,anderbr05,Bryan Douglas
54,anderbr06,Brian Wade
55,anderch01,Robert Chase
56,anderco01,Cody Andrew
57,anderdr02,Andrew James
58,anderju01,Justin Charles
59,anderta01,Tanner Ackley
60,anderti01,Timothy Devon
61,anderty01,Tyler John
62,andinro01,Robert Lazaro
63,andrejo03,John Francis
64,andrima01,Matthew Lee
65,andruel01,Elvis Augusto
66,andujmi01,Miguel Enrique
67,annade01,Dean William
68,antoldu01,Dustin Kamakana Mai Ku'u Makualani
69,aokino01,Norichika
70,aquinar01,Aristides
71,aquinja01,Jayson Julio
72,aranovi01,Victor Teodoro
73,araujel01,Elvis Alejandro
74,araujpe01,Pedro
75,archech01,Christopher Alan
76,arciafr01,Francisco Antonio
77,arciaor01,Orlando Jesus
78,arciaos01,Oswaldo Celestino
79,arenano01,Nolan James
80,arencjp01,Jonathan Paul
81,ariasjo01,Joaquin
82,armstsh01,Shawn Michael
83,arojo01,Jonathan Arturo
84,arrieja01,Jacob Joseph
85,arroybr01,Bronson Anthony
86,arroych01,Christian Israel
87,ascheco01,Cody James
88,asheral01,Alec Edward
89,ashlene01,Nevin Robert
90,astinba01,Barrett
91,astudwi01,Willians Jose
92,asuajca01,Carlos A.
93,atchisc01,Scott Barham
94,aumonph01,Phillippe
95,austity01,Christopher Tyler
96,aveliab01,Abiatal
97,avilaal01,Alexander Thomas
98,avilalu01,Luis Armando
99,avilemi01,Michael Anthony
100,axelrdy01,Dylan Davis Haines
101,axforjo01,John Berton
102,aybarer01,Erick Johan
103,badenbu01,Burke Heinrich
104,baderha01,Harrison Joseph
105,baezja01,Ednel Javier
106,baezpe01,Pedro Alberys
107,baezsa01,Sandy
108,bailean01,Andrew Scott
109,baileho02,David Dewitt
110,bakerje03,Jeffrey Glen
111,bakersc02,Timothy Scott
112,balesco01,Collin Thomas
113,balfogr01,Grant Robert
114,bandaan01,Frank Anthony
115,bandyje01,Jett Adam
116,banuema01,Manuel
117,barbajo01,John Edward
118,bardlu01,Luke Francis
119,barlosc01,Scott A.
120,barmecl01,Clint Harold
121,barneau01,Austin Scott
122,barnebr02,Brandon Michael
123,barneda01,Darwin James Kunane
124,barneda02,Daniel J.
125,barneja01,Jacob Andrew
126,barnema01,Matthew D.
127,barneto01,Anthony Lee
128,barnhtu01,Tucker Jackson
129,baronst01,Steven Phillip
130,barraky01,Kyle David
131,barreaa01,Aaron James
132,barrefr02,Franklin Jose
133,barreja01,Jake Dalton
134,barrija01,Jaime Jonathan
135,barriyh01,Yhonathan
136,bashlty01,Tyler Morris
137,bassan01,Anthony Edward
138,bassich01,Christopher M.
139,bastaan01,Antonio Francisco
140,bauerja01,Jakob Christopher
141,bauertr01,Trevor Andrew
142,baumabu01,George Charles
143,bautige01,Gerson
144,bautijo02,Jose Antonio
145,bautira01,Rafael Darwing
146,baxtemi01,Michael Joseph
147,beachbr01,Brandon Alan
148,beatope01,Pedro
149,beckch02,Christopher Michael
150,beckhgo01,James Gordon
151,beckhti01,Timothy Lamar
152,bedroca01,Cameron Rock
153,beedety01,Tyler Joseph
154,beeksja01,Jalen Christopher
155,beeleda01,Dallas James
156,beimejo01,Joseph Ronald
157,belisma01,Matthew Thomas
158,belisro01,Ronald J.
159,belivje01,Jeffrey Ryan
160,bellaan01,Andrew James
161,bellch02,Chadwick Micah
162,bellico01,Cody James
163,belljo02,Joshua Evan
164,beltbr01,Brandon Kyle
165,beltrad01,Adrian
166,beltrca01,Carlos Ivan
167,beninan01,Andrew S.
168,benoijo01,Joaquin Antonio
169,beresja01,James Richard
170,bergmch01,Christian Stanford
171,bernido01,Douglas Howell
172,berrijo01,Jose Orlando
173,berryqu01,Quintin Lonell
174,bertijo01,Jonathon David
175,betande01,Dellin
176,betanra01,Rafael Jose
177,bethach01,Christian Gabriel
178,bettich01,Chad Robert
179,bettsmo01,Markus Lynn
180,biagijo01,Joseph Carlo
181,biancje01,Jeffrey Thomas
182,bibenau01,Austin M.
183,biddlje01,Jesse Thomas
184,biebesh01,Shane Robert
185,billich01,Chad Ryan
186,birdgr01,Gregory Paul
187,blachty01,Tyson Michael
188,blackch02,Charles Cobb
189,blackpa01,Paul Cady
190,blackra01,Raymond Anthony
191,blairaa01,Aaron Daniel
192,blairca01,Carson Reynolds
193,blancan01,Andres Eloy
194,blancgr01,Gregor Miguel
195,blandal01,Alessandre
196,blankky01,Kyle Nathaniel
197,blantjo01,Joseph Matthew
198,blashja01,Jabari Jerell
199,blazemi01,Michael Robert
200,bleicje01,Jeremy Michael
201,bleieri01,Richard Sidney
202,blevije01,Jerry Richard
203,bloomwi01,William Paul
204,bochybr02,Brett
205,boescbr01,Brennan Philip
206,bogaexa01,Xander Jan
207,bogusbr01,Brian Thomas
208,bolsimi01,Michael P.
209,bonifem01,Emilio Jose
210,bonifjo01,Jorge Luis
211,bonilli01,Lisalverto
212,borboju01,Julio Alberto
213,bormajo01,John William
214,borucry01,Ryan Joseph
215,boscawi01,Wilfredo Jose
216,boshebu01,Jeffrey Alan
217,bostich01,Christopher Michael
218,boteda01,David C.
219,bourgja01,Jason Jerrod
220,bourjpe01,Peter Christopher
221,bourju01,Justin James
222,bournmi01,Michael Ray
223,bowmama01,Matthew Chou
224,boxbebr01,Bradley George
225,boydma01,Matthew Robert
226,boyerbl01,Blaine Thomas
227,brachbr01,Brad
228,brachsi01,Silvino
229,bradfch02,Chasen David
230,bradlar01,Archie N.
231,bradlja02,Jackie
232,bradlje01,Jedidiah Custer
233,bradymi01,Michael James
234,brantmi02,Michael Charles
235,brantro01,Robert Jacob
236,brasiry01,Ryan David
237,braulst01,Steven Joseph
238,braunry02,Ryan Joseph
239,brebbjo01,John Fulboam
240,bregmal01,Alexander David
241,brentbr01,Bryce Everett
242,breslcr01,Craig Andrew
243,brettry01,Ryan Duane
244,breweco01,Colten B.
245,briceau01,Austin Robert
246,bricejo01,Jose
247,bridwpa01,Parker Alan
248,brighja01,Jacob Daniel
249,brighje01,Jeff John
250,brignre01,Reid Michael
251,brinsle01,Lewis Lamont
252,britoso01,Socrates Orel
253,brittza01,Zachary Grant
254,broadmi01,Michael Allen
255,brookaa01,Aaron Lee
256,brothre01,Rex Colman
257,brownbr02,Brooks Steven
258,browndo01,Domonic Larun
259,browntr01,Trevor Michael
260,broxtjo01,Jonathan Roy
261,broxtke01,Keon Darell
262,bruceja01,Jay Allen
263,brugmja01,Jaycob Hull
264,bryankr01,Kristopher Lee
265,buchada01,David Andrew
266,buchaja01,Jake T.
267,buchhcl01,Clay Daniel
268,buchtry01,Ryan James
269,buehlwa01,Walker Anthony
270,buehrma01,Mark Alan
271,bumgama01,Madison Kyle
272,bummeaa01,Aaron James
273,bundydy01,Dylan Matthew
274,burawda01,Daniel James
275,burdini01,Nicholas Edward
276,burgoen02,Enrique
277,burneaj01,Allan James
278,burneco01,Corbin Brian
279,burnese01,Sean Richard
280,burnsan01,Andrew David
281,burnsbi02,William John
282,burriem01,Emmanuel Allen
283,burrry01,Ryan Matthew
284,buschma01,Matthew David
285,busenal01,Alan Paul
286,bushma01,Matthew Brian
287,bussni01,Nicholas Gregory
288,buterdr01,Andrew Edward
289,butlebi03,Billy Ray
290,butleda01,Daniel John
291,butleed01,Timothy Edward
292,butlejo04,Joseph Frank
293,buttrty01,Ty Douglas
294,buxtoby01,Byron Keiron
295,byrdma01,Marlon Jerrard
296,cabrace01,Cesar Augusto
297,cabreas01,Asdrubal Jose
298,cabreev01,Everth
299,cabrema01,Mauricio Adolfo
300,cabreme01,Melky
301,cabremi01,Jose Miguel
302,cabrera01,Ramon Salvador
303,cahiltr01,Trevor John
304,cainlo01,Lorenzo Lamar
305,cainma01,Matthew Thomas
306,calhoko01,Kole Alan
307,calhowi01,Willie Shawn Lamont
308,calixor01,Orlando
309,callaal01,Alberto Jose
310,callaja01,James Douglas
311,camarjo01,Johan Valentin
312,caminar01,Arquimedes Euclides
313,campber01,Eric Singleton
314,campojo01,Jose Vicente
315,campole01,Leonel Enrique
316,candeje01,Jeimer
317,canhama01,Mark David
318,canoro01,Robinson Jose
319,cappsca01,Carter Lewis
320,capuach01,Christopher Frank
321,carasma01,Matthew Joseph
322,caratvi01,Victor Manuel
323,cardust01,Stephen Andrew
324,carlesh01,Shane Taylor
325,carlybu01,Earl L.
326,carmofa01,Roberto
327,carpeda01,Darrell David
328,carpeda02,David Lee
329,carpema01,Matthew Martin
330,carpery01,Ryan Nicholas
331,carraca01,Carlos Luis
332,carreez01,Ezequiel Manuel
333,carroco01,Cody Mark
334,carrosc02,Scott Alexander
335,cartech02,Vernon Christopher
336,casalcu01,Curtis Michael
337,cashnan01,Andrew Burton
338,casteni01,Nicholas A.
339,castidi01,Diego
340,castifa01,Fabio
341,castijo03,Jose Gregorio
342,castilu02,Luis Miguel
343,castiru01,Rusney
344,castiwe01,Welington Andres
345,castran01,Angel M.
346,castrda01,Daniel Alejandro
347,castrha01,Harold Arnaldo
348,castrja01,Jason Michael
349,castrmi01,Miguel Angel
350,castrsi01,Simon
351,castrst01,Starlin DeJesus
352,caveja01,Andrew Jacob
353,cecchga01,Garin Glenn
354,cecchga02,Gavin Glenn Christopher Joseph
355,cecilbr01,Brett Aarion
356,cecilda01,Darrell Albert
357,cedenxa01,Xavier
358,centeju01,Juan C.
359,cervefr01,Francisco
360,cervehu01,Colby Hunter
361,cespeyo01,Yoenis
362,cessalu01,Luis Enrique
363,chacial01,David Alejandro
364,chacijh01,Jhoulys Jose
365,chafian01,Andrew Gregory
366,chambjo03,Justin Louis
367,chapmar01,Albertin Aroldis
368,chapmke02,Kevin Allen
369,chapmma01,Matt James
370,chargjt01,Jon Thomas
371,chatwty01,Tyler Cole
372,chaveje01,Jesse David
373,chenbr01,Bruce Kastulo
374,chenwe02,Wei-Yin
375,chiriro01,Robinson David
376,chiriyo01,Yonny Enrique
377,chiselo01,Lonnie David
378,choatra01,Randol Doyle
379,choicmi01,Michael Blair
380,choiji01,Ji-Man
381,choosh01,Shin-Soo
382,cimbead01,Adam Christian
383,cingrto01,Anthony Michael
384,ciriape01,Pedro Joel
385,cishest01,Steven R.
386,ciuffni01,Nicholas Anthony
