yearid,lgid,teamid,franchid,divid,rank,wswin,name,park,attendance,teamidbr
1871,,BS1,BNA,,3,,Boston Red Stockings,South End Grounds I,,BOS
1871,,CH1,CNA,,2,,Chicago White Stockings,Union Base-Ball Grounds,,CHI
1871,,CL1,CFC,,8,,Cleveland Forest Citys,National Association Grounds,,CLE
1871,,FW1,KEK,,7,,Fort Wayne Kekiongas,Hamilton Field,,KEK
1871,,NY2,NNA,,5,,New York Mutuals,Union Grounds (Brooklyn),,NYU
1871,,PH1,PNA,,1,,Philadelphia Athletics,Jefferson Street Grounds,,ATH
1871,,RC1,ROK,,9,,Rockford Forest Citys,Agricultural Society Fair Grounds,,ROK
1871,,TRO,TRO,,6,,Troy Haymakers,Haymakers' Grounds,,TRO
1871,,WS3,OLY,,4,,Washington Olympics,Olympics Grounds,,OLY
1872,,BL1,BLC,,2,,Baltimore Canaries,Newington Park,,BAL
1872,,BR1,ECK,,9,,Brooklyn Eckfords,Union Grounds,,ECK
1872,,BR2,BRA,,6,,Brooklyn Atlantics,Capitoline Grounds,,BRA
1872,,BS1,BNA,,1,,Boston Red Stockings,South End Grounds I,,BOS
1872,,CL1,CFC,,7,,Cleveland Forest Citys,National Association Grounds,,CLE
1872,,MID,MAN,,8,,Middletown Mansfields,Mansfield Club Grounds,,MAN
1872,,NY2,NNA,,3,,New York Mutuals,Union Grounds (Brooklyn),,NYU
1872,,PH1,PNA,,4,,Philadelphia Athletics,Jefferson Street Grounds,,ATH
1872,,TRO,TRO,,5,,Troy Haymakers,Haymakers' Grounds,,TRO
1872,,WS3,OLY,,10,,Washington Olympics,Olympics Grounds,,OLY
1872,,WS4,NAT,,11,,Washington Nationals,Nationals Grounds,,NAT
1873,,BL1,BLC,,3,,Baltimore Canaries,Newington Park,,BAL
1873,,BL4,MAR,,9,,Baltimore Marylands,Newington Park,,MAR
1873,,BR2,BRA,,6,,Brooklyn Atlantics,Union Grounds,,BRA
1873,,BS1,BNA,,1,,Boston Red Stockings,South End Grounds I,,BOS
1873,,ELI,RES,,8,,Elizabeth Resolutes,Waverly Fairgrounds,,RES
1873,,NY2,NNA,,4,,New York Mutuals,Union Grounds (Brooklyn),,NYU
1873,,PH1,PNA,,5,,Philadelphia Athletics,Jefferson Street Grounds,,ATH
1873,,PH2,PWS,,2,,Philadelphia Whites,Jefferson Street Grounds,,PHI
1873,,WS5,WBL,,7,,Washington Blue Legs,Olympics Grounds,,WAS
1874,,BL1,BLC,,8,,Baltimore Canaries,Newington Park,,BAL
1874,,BR2,BRA,,6,,Brooklyn Atlantics,Union Grounds,,BRA
1874,,BS1,BNA,,1,,Boston Red Stockings,South End Grounds I,,BOS
1874,,CH2,CNA,,5,,Chicago White Stockings,23rd Street Grounds,,CHI
1874,,HR1,HNA,,7,,Hartford Dark Blues,Hartford Ball Club Grounds,,HAR
1874,,NY2,NNA,,2,,New York Mutuals,Union Grounds (Brooklyn),,NYU
1874,,PH1,PNA,,3,,Philadelphia Athletics,Jefferson Street Grounds,,ATH
1874,,PH2,PWS,,4,,Philadelphia Whites,Jefferson Street Grounds,,PHI
1875,,BR2,BRA,,11,,Brooklyn Atlantics,Union Grounds,,BRA
1875,,BS1,BNA,,1,,Boston Red Stockings,South End Grounds I,,BOS
1875,,CH2,CNA,,6,,Chicago White Stockings,23rd Street Grounds,,CHI
1875,,HR1,HNA,,3,,Hartford Dark Blues,Hartford Ball Club Grounds,,HAR
1875,,KEO,WES,,13,,Keokuk Westerns,Perry Park,,WES
1875,,NH1,NHV,,8,,New Haven Elm Citys,Hamilton Park,,NHV
1875,,NY2,NNA,,6,,New York Mutuals,Union Grounds (Brooklyn),,NYU
1875,,PH1,PNA,,2,,Philadelphia Athletics,Jefferson Street Grounds,,ATH
1875,,PH2,PWS,,5,,Philadelphia Whites,Jefferson Street Grounds,,PHI
1875,,PH3,CEN,,11,,Philadelphia Centennials,Centennial Grounds,,CEN
1875,,SL1,SLR,,10,,St. Louis Red Stockings,Red Stocking Baseball Park,,SLR
1875,,SL2,SNA,,4,,St. Louis Brown Stockings,Grand Avenue Park,,STL
1875,,WS6,WNT,,9,,Washington Nationals,Olympics Grounds,,WAS
1876,NL,BSN,ATL,,4,,Boston Red Caps,South End Grounds I,,BSN
1876,NL,CHN,CHC,,1,,Chicago White Stockings,23rd Street Grounds,,CHC
1876,NL,CN1,CNR,,8,,Cincinnati Reds,Avenue Grounds,,CIN
