yearID,W,L,HR,SO,ERA,name
2014,64,98,118,1165,4.26,Arizona Diamondbacks
2014,79,83,123,1369,3.38,Atlanta Braves
2014,96,66,211,1285,3.43,Baltimore Orioles
2014,71,91,123,1337,4.01,Boston Red Sox
2014,73,89,155,1362,4.29,Chicago White Sox
2014,73,89,157,1477,3.91,Chicago Cubs
2014,76,86,131,1252,3.59,Cincinnati Reds
2014,85,77,142,1189,3.56,Cleveland Indians
2014,66,96,186,1281,4.84,Colorado Rockies
2014,90,72,155,1144,4.01,Detroit Tigers
2014,70,92,163,1442,4.11,Houston Astros
2014,89,73,95,985,3.51,Kansas City Royals
2014,98,64,155,1266,3.58,Los Angeles Angels of Anaheim
2014,94,68,134,1246,3.4,Los Angeles Dodgers
2014,77,85,122,1419,3.78,Miami Marlins
2014,82,80,150,1197,3.67,Milwaukee Brewers
2014,70,92,128,1329,4.57,Minnesota Twins
2014,84,78,147,1133,3.75,New York Yankees
2014,79,83,125,1264,3.49,New York Mets
2014,88,74,146,1104,3.22,Oakland Athletics
2014,73,89,125,1306,3.79,Philadelphia Phillies
2014,88,74,156,1244,3.47,Pittsburgh Pirates
2014,77,85,109,1294,3.27,San Diego Padres
2014,87,75,136,1232,3.17,Seattle Mariners
2014,88,74,132,1245,3.5,San Francisco Giants
2014,90,72,105,1133,3.5,St. Louis Cardinals
2014,77,85,117,1124,3.56,Tampa Bay Rays
2014,67,95,111,1162,4.49,Texas Rangers
2014,83,79,177,1151,4,Toronto Blue Jays
2014,96,66,152,1304,3.03,Washington Nationals
2015,79,83,154,1312,4.04,Arizona Diamondbacks
2015,67,95,100,1107,4.41,Atlanta Braves
2015,81,81,217,1331,4.05,Baltimore Orioles
2015,78,84,161,1148,4.31,Boston Red Sox
2015,76,86,136,1231,3.98,Chicago White Sox
2015,97,65,171,1518,3.36,Chicago Cubs
2015,64,98,167,1255,4.33,Cincinnati Reds
2015,81,80,141,1157,3.67,Cleveland Indians
2015,68,94,186,1283,5.04,Colorado Rockies
2015,74,87,151,1259,4.64,Detroit Tigers
2015,86,76,230,1392,3.57,Houston Astros
2015,95,67,139,973,3.73,Kansas City Royals
2015,85,77,176,1150,3.94,Los Angeles Angels of Anaheim
